State,Less than Bachelor's,At least Bachelor's,Advanced Degree,Bachelor's Degree,Associate's or Some College,HS or less
Alabama,75.50%,24.50%,9.10%,15.40%,29.90%,45.60%
Alaska,71.00%,29.00%,10.40%,18.60%,35.80%,35.20%
Arizona,71.60%,28.40%,10.70%,17.80%,33.90%,37.70%
Arkansas,78.00%,22.00%,7.90%,14.10%,29.20%,48.70%
California,67.40%,32.60%,12.20%,20.40%,29.30%,38.10%
Colorado,60.60%,39.40%,14.60%,24.80%,30.10%,30.40%
Connecticut,61.60%,38.40%,17.00%,21.50%,24.60%,36.90%
Delaware,69.00%,31.00%,12.90%,18.00%,27.20%,41.90%
District of Columbia,43.40%,56.60%,32.80%,23.80%,16.10%,27.30%
Florida,71.50%,28.50%,10.30%,18.20%,30.20%,41.40%
Georgia,70.10%,29.90%,11.40%,18.60%,28.30%,41.80%
Hawaii,68.00%,32.00%,10.80%,21.20%,31.80%,36.10%
Idaho,73.20%,26.80%,8.50%,18.20%,36.10%,37.20%
Illinois,66.60%,33.40%,13.00%,20.50%,28.80%,37.80%
Indiana,74.70%,25.30%,9.20%,16.10%,29.20%,45.40%
Iowa,72.30%,27.70%,9.00%,18.70%,32.60%,39.70%
Kansas,67.70%,32.30%,11.70%,20.60%,31.90%,35.70%
Kentucky,76.80%,23.20%,9.60%,13.60%,28.90%,47.90%
Louisiana,76.60%,23.40%,8.10%,15.30%,27.10%,49.50%
Maine,69.70%,30.30%,10.90%,19.30%,29.50%,40.20%
Maryland,61.00%,39.00%,18.00%,21.00%,25.70%,35.30%
Massachusetts,57.90%,42.10%,18.70%,23.40%,23.50%,34.40%
Michigan,71.90%,28.10%,11.00%,17.10%,32.90%,39.00%
Minnesota,65.20%,34.80%,11.80%,23.00%,32.60%,32.60%
Mississippi,78.70%,21.30%,8.00%,13.30%,31.70%,47.00%
Missouri,71.80%,28.20%,10.70%,17.50%,30.10%,41.70%
Montana,69.30%,30.70%,10.10%,20.60%,32.90%,36.30%
Nebraska,69.40%,30.60%,10.20%,20.40%,33.60%,35.80%
Nevada,76.30%,23.70%,8.10%,15.60%,33.90%,42.50%
New Hampshire,64.00%,36.00%,13.80%,22.30%,28.80%,35.10%
New Jersey,61.90%,38.10%,14.70%,23.40%,23.10%,38.80%
New Mexico,73.10%,26.90%,11.80%,15.10%,31.70%,41.40%
New York,64.70%,35.30%,15.40%,19.90%,24.50%,40.20%
North Carolina,70.10%,29.90%,10.60%,19.20%,30.90%,39.20%
North Dakota,71.10%,28.90%,7.80%,21.10%,36.30%,34.80%
Ohio,72.80%,27.20%,10.20%,17.00%,29.00%,43.80%
Oklahoma,75.20%,24.80%,8.30%,16.60%,31.20%,44.00%
Oregon,67.70%,32.30%,12.20%,20.10%,34.50%,33.20%
Pennsylvania,69.90%,30.10%,11.80%,18.30%,24.20%,45.70%
Puerto Rico,75.10%,24.90%,7.10%,17.80%,22.20%,52.90%
Rhode Island,67.00%,33.00%,13.10%,19.80%,26.50%,40.60%
South Carolina,73.00%,27.00%,9.80%,17.20%,30.10%,42.90%
South Dakota,72.20%,27.80%,8.30%,19.50%,33.10%,39.10%
Tennessee,73.90%,26.10%,9.60%,16.50%,27.80%,46.10%
Texas,71.30%,28.70%,9.90%,18.80%,29.00%,42.30%
Utah,67.50%,32.50%,11.00%,21.50%,36.40%,31.10%
Vermont,63.20%,36.80%,15.00%,21.80%,25.90%,37.30%
Virginia,62.40%,37.60%,16.10%,21.50%,27.20%,35.30%
Washington,65.50%,34.50%,12.70%,21.70%,33.90%,31.70%
West Virginia,80.10%,19.90%,7.90%,12.00%,25.50%,54.60%
Wisconsin,71.00%,29.00%,9.90%,19.20%,31.40%,39.60%
Wyoming,73.30%,26.70%,9.30%,17.40%,37.30%,36.00%
