,0
0,the United States
1,the United States
2,the United States
3,the United States
4,the United States
5,the United States
6,the United States
7,the United States
8,the United States
9,the United States
10,Virgin_Islands
11,Virgin_Islands
12,Virgin_Islands
13,Virgin_Islands
14,Virgin_Islands
15,Virgin_Islands
16,Virgin_Islands
17,Virgin_Islands
18,Virgin_Islands
19,Virgin_Islands
20,Puerto_Rico
21,Puerto_Rico
22,Puerto_Rico
23,Puerto_Rico
24,Puerto_Rico
25,Puerto_Rico
26,Puerto_Rico
27,Puerto_Rico
28,Puerto_Rico
29,Puerto_Rico
30,Guam
31,Guam
32,Guam
33,Guam
34,Guam
35,Guam
36,Guam
37,Guam
38,Guam
39,Guam
40,Wyoming
41,Wyoming
42,Wyoming
43,Wyoming
44,Wyoming
45,Wyoming
46,Wyoming
47,Wyoming
48,Wyoming
49,Wyoming
50,Wisconsin
51,Wisconsin
52,Wisconsin
53,Wisconsin
54,Wisconsin
55,Wisconsin
56,Wisconsin
57,Wisconsin
58,Wisconsin
59,Wisconsin
60,West_Virginia
61,West_Virginia
62,West_Virginia
63,West_Virginia
64,West_Virginia
65,West_Virginia
66,West_Virginia
67,West_Virginia
68,West_Virginia
69,West_Virginia
70,Washington
71,Washington
72,Washington
73,Washington
74,Washington
75,Washington
76,Washington
77,Washington
78,Washington
79,Washington
80,Virginia
81,Virginia
82,Virginia
83,Virginia
84,Virginia
85,Virginia
86,Virginia
87,Virginia
88,Virginia
89,Virginia
90,Vermont
91,Vermont
92,Vermont
93,Vermont
94,Vermont
95,Vermont
96,Vermont
97,Vermont
98,Vermont
99,Vermont
100,Utah
101,Utah
102,Utah
103,Utah
104,Utah
105,Utah
106,Utah
107,Utah
108,Utah
109,Utah
110,Texas
111,Texas
112,Texas
113,Texas
114,Texas
115,Texas
116,Texas
117,Texas
118,Texas
119,Texas
120,Tennessee
121,Tennessee
122,Tennessee
123,Tennessee
124,Tennessee
125,Tennessee
126,Tennessee
127,Tennessee
128,Tennessee
129,Tennessee
130,South_Dakota
131,South_Dakota
132,South_Dakota
133,South_Dakota
134,South_Dakota
135,South_Dakota
136,South_Dakota
137,South_Dakota
138,South_Dakota
139,South_Dakota
140,South_Carolina
141,South_Carolina
142,South_Carolina
143,South_Carolina
144,South_Carolina
145,South_Carolina
146,South_Carolina
147,South_Carolina
148,South_Carolina
149,South_Carolina
150,Rhode_Island
151,Rhode_Island
152,Rhode_Island
153,Rhode_Island
154,Rhode_Island
155,Rhode_Island
156,Rhode_Island
157,Rhode_Island
158,Rhode_Island
159,Rhode_Island
160,Pennsylvania
161,Pennsylvania
162,Pennsylvania
163,Pennsylvania
164,Pennsylvania
165,Pennsylvania
166,Pennsylvania
167,Pennsylvania
168,Pennsylvania
169,Pennsylvania
170,Oregon
171,Oregon
172,Oregon
173,Oregon
174,Oregon
175,Oregon
176,Oregon
177,Oregon
178,Oregon
