,State,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,StMean
0,United States,"5,123","5,280","5,483","5,646","5,880","6,148","6,460","6,860","7,321","7,673","7,995","8,256","8,659","9,099","9,630","10,249","10,503","10,601","10,625","10,617","10,744","11,036","11,408","11,791","8,462"
1,Alabama,"3,572","3,826","4,109","4,343","4,595","4,849","5,188","5,638","5,885","6,029","6,300","6,581","7,073","7,683","8,398","9,197","8,964","8,907","8,726","8,577","8,773","9,036","9,146","9,258","6,861"
2,Alaska,"7,901","7,960","8,033","8,189","8,231","8,271","8,404","8,806","9,216","9,563","9,870","10,116","10,847","11,476","12,324","14,641","15,363","15,829","16,663","17,475","18,217","18,466","20,191","17,510","12,232"
3,Arizona,"4,088","4,104","4,264","4,476","4,413","4,595","4,672","5,030","5,278","5,964","6,282","5,999","6,307","6,515","7,316","7,727","8,022","7,870","7,782","7,383","7,495","7,427","7,530","7,711","6,177"
4,Arkansas,"3,859","4,013","4,186","4,401","4,535","4,708","4,956","5,277","5,568","6,276","6,482","6,842","7,659","8,030","8,391","8,677","8,854","9,281","9,496","9,536","9,538","9,752","9,805","9,900","7,084"
5,California,"4,614","4,718","4,799","4,937","5,260","5,644","5,801","6,314","6,987","7,434","7,552","7,673","7,905","8,301","8,952","9,706","9,503","9,300","9,146","9,220","9,258","9,671","10,449","11,419","7,690"
6,Colorado,"4,766","4,727","5,047","5,121","5,312","5,656","5,923","6,215","6,567","6,941","7,384","7,478","7,826","8,166","8,286","9,152","8,782","8,926","8,786","8,594","8,693","9,036","9,292","9,619","7,346"
7,Connecticut,"7,652","7,947","8,380","8,430","8,580","8,904","9,318","9,753","10,127","10,577","11,057","11,436","12,263","13,072","13,659","14,610","15,353","15,698","16,224","16,855","17,321","18,401","19,020","19,615","12,677"
8,Delaware,"5,750","6,101","6,502","6,696","7,135","7,420","7,706","8,310","8,958","9,284","9,693","10,212","10,911","11,621","11,760","12,153","12,109","12,222","12,467","13,580","13,653","13,793","13,882","14,397","10,263"
9,District of Columbia,"8,286","8,843","8,290","8,510","8,048","8,393","9,650","10,107","12,046","12,103","11,847","12,959","13,915","13,752","15,511","16,353","19,698","20,910","20,793","19,847","20,451","20,537","20,610","21,135","14,275"
10,Florida,"4,876","5,063","5,220","5,275","5,360","5,552","5,790","5,831","6,170","6,213","6,439","6,793","7,215","7,812","8,567","9,084","8,867","8,863","9,030","8,520","8,623","8,955","9,113","9,176","7,184"
11,Georgia,"4,368","4,569","4,828","5,056","5,369","5,647","6,092","6,437","6,929","7,380","7,774","7,742","8,065","8,595","9,102","9,718","9,649","9,432","9,259","9,272","9,121","9,236","9,476","9,835","7,623"
12,Hawaii,"5,332","5,532","5,597","5,560","5,633","5,858","6,081","6,530","6,596","7,306","8,100","8,533","8,997","9,876","11,316","11,800","12,400","11,855","11,924","11,973","11,790","12,400","12,855","13,748","9,066"
13,Idaho,"3,471","3,628","3,957","4,194","4,447","4,721","5,066","5,315","5,725","6,011","6,081","6,168","6,319","6,469","6,648","6,951","7,118","7,100","6,821","6,626","6,761","6,577","6,929","7,178","5,845"
14,Illinois,"5,307","5,323","5,553","5,519","5,940","6,242","6,762","7,133","7,643","7,956","8,287","8,606","8,896","9,113","9,596","10,353","11,084","11,737","11,739","12,008","12,439","13,203","13,923","14,327","9,112"
15,Indiana,"4,995","5,245","5,411","5,621","6,161","6,318","6,772","7,192","7,630","7,734","8,057","8,431","8,919","8,929","9,080","8,867","9,254","9,479","9,251","9,588","9,421","9,396","9,529","9,691","7,957"
