Table S-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Expenditures per Pupil for Elementary and Secondary Public Schools, by state: 1993–2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public school expenditures ($thousands),,,,,,,,,,,,,,,,,,,,,,,,,Student enrollment,,,,,,,,,,,,,,,,,,,,,,,,,Per-pupil expenditures (Dollars),,,,,,,,,,,,,,,,,,,,,,,
State,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
United States,"222,992,392","233,291,720","245,703,310","257,168,777","272,313,329","287,860,809","305,130,470","326,202,323","350,643,209","370,851,906","390,357,693","406,229,696","428,167,865","452,686,862","480,571,874","510,857,571","522,990,858","528,767,674","531,442,782","531,181,458","540,039,802","557,607,993","579,160,324","599,710,063",,"43,527,620","44,184,072","44,810,788","45,547,183","46,309,492","46,823,094","47,230,515","47,549,194","47,893,902","48,329,297","48,825,156","49,201,556","49,445,874","49,752,680","49,904,359","49,844,326","49,795,888","49,880,829","50,016,134","50,032,374","50,262,751","50,527,461","50,768,916","50,862,487",,"5,123","5,280","5,483","5,646","5,880","6,148","6,460","6,860","7,321","7,673","7,995","8,256","8,659","9,099","9,630","10,249","10,503","10,601","10,625","10,617","10,744","11,036","11,408","11,791"
Alabama,"2,610,514","2,809,713","3,026,287","3,240,364","3,436,406","3,633,159","3,880,188","4,176,082","4,354,794","4,444,390","4,657,643","4,812,479","5,164,406","5,699,076","6,245,031","6,832,439","6,683,843","6,670,517","6,592,925","6,386,517","6,532,358","6,742,829","6,806,467","6,885,677",,"730,857","734,469","736,531","746,149","747,932","749,207","747,980","740,732","739,992","737,190","739,366","731,220","730,140","741,761","743,632","742,919","745,668","748,889","755,552","744,621","744,637","746,204","744,164","743,789",,"3,572","3,826","4,109","4,343","4,595","4,849","5,188","5,638","5,885","6,029","6,300","6,581","7,073","7,683","8,398","9,197","8,964","8,907","8,726","8,577","8,773","9,036","9,146","9,258"
Alaska,"967,765","1,002,515","1,020,675","1,045,022","1,069,379","1,092,750","1,137,610","1,183,499","1,229,036","1,284,854","1,326,226","1,354,846","1,442,269","1,529,645","1,634,316","1,918,375","2,007,319","2,084,019","2,201,270","2,292,205","2,395,354","2,418,000","2,648,552","2,319,662",,"122,487","125,948","127,057","127,618","129,919","132,123","135,373","134,391","133,356","134,358","134,364","133,933","132,970","133,288","132,608","131,029","130,662","131,661","132,104","131,167","131,489","130,944","131,176","132,477",,"7,901","7,960","8,033","8,189","8,231","8,271","8,404","8,806","9,216","9,563","9,870","10,116","10,847","11,476","12,324","14,641","15,363","15,829","16,663","17,475","18,217","18,466","20,191","17,510"
Arizona,"2,753,510","2,911,304","3,144,540","3,327,969","3,527,473","3,740,638","3,963,428","4,288,739","4,632,539","5,499,645","5,891,105","6,071,785","6,579,957","7,130,341","7,815,720","8,403,221","8,726,755","8,482,552","8,340,211","7,976,089","8,164,529","8,187,607","8,370,884","8,551,673",,"673,477","709,453","737,424","743,566","799,250","814,113","848,262","852,612","877,696","922,180","937,755","1,012,068","1,043,298","1,094,454","1,068,249","1,087,447","1,087,817","1,077,831","1,071,751","1,080,319","1,089,384","1,102,445","1,111,695","1,109,040",,"4,088","4,104","4,264","4,476","4,413","4,595","4,672","5,030","5,278","5,964","6,282","5,999","6,307","6,515","7,316","7,727","8,022","7,870","7,782","7,383","7,495","7,427","7,530","7,711"
Arkansas,"1,703,604","1,782,645","1,873,595","1,994,748","2,074,113","2,149,237","2,241,244","2,380,331","2,505,179","2,822,877","2,923,401","3,109,644","3,546,999","3,808,011","3,997,701","4,156,368","4,240,839","4,459,910","4,578,136","4,606,995","4,637,169","4,778,074","4,813,321","4,872,214",,"441,490","444,271","447,565","453,257","457,349","456,497","452,256","451,034","449,959","449,805","450,985","454,523","463,115","474,206","476,409","479,016","478,965","480,559","482,114","483,114","486,157","489,979","490,917","492,132",,"3,859","4,013","4,186","4,401","4,535","4,708","4,956","5,277","5,568","6,276","6,482","6,842","7,659","8,030","8,391","8,677","8,854","9,281","9,496","9,536","9,538","9,752","9,805","9,900"
California,"24,219,792","25,140,639","25,949,033","27,334,639","29,909,168","32,759,492","34,379,878","38,129,479","42,908,787","46,265,544","47,983,402","49,215,866","50,918,654","53,436,103","57,352,599","61,570,555","60,080,929","58,248,662","57,526,835","57,975,189","58,323,458","61,050,894","65,953,946","72,003,129",,"5,249,275","5,328,558","5,407,475","5,536,406","5,686,198","5,803,887","5,926,037","6,038,590","6,140,814","6,223,821","6,353,667","6,413,867","6,441,557","6,437,202","6,406,750","6,343,471","6,322,528","6,263,438","6,289,578","6,287,834","6,299,451","6,312,623","6,312,161","6,305,347",,"4,614","4,718","4,799","4,937","5,260","5,644","5,801","6,314","6,987","7,434","7,552","7,673","7,905","8,301","8,952","9,706","9,503","9,300","9,146","9,220","9,258","9,671","10,449","11,419"
Colorado,"2,919,916","2,954,793","3,232,976","3,360,529","3,577,211","3,886,872","4,140,699","4,401,010","4,758,173","5,151,003","5,551,506","5,666,191","5,994,440","6,368,289","6,579,053","7,338,766","7,187,267","7,429,302","7,409,462","7,341,585","7,506,978","7,924,319","8,260,461","8,648,369",,"612,635","625,062","640,521","656,279","673,438","687,167","699,135","708,109","724,508","742,145","751,862","757,693","765,976","779,826","794,026","801,867","818,443","832,368","843,316","854,265","863,561","876,999","889,006","899,112",,"4,766","4,727","5,047","5,121","5,312","5,656","5,923","6,215","6,567","6,941","7,384","7,478","7,826","8,166","8,286","9,152","8,782","8,926","8,786","8,594","8,693","9,036","9,292","9,619"
Connecticut,"3,737,765","3,943,894","4,247,327","4,366,123","4,522,716","4,765,077","5,075,581","5,402,836","5,693,207","6,031,062","6,302,988","6,600,767","7,080,396","7,517,025","7,855,459","8,336,789","8,708,294","8,853,337","9,094,036","9,344,999","9,543,010","10,050,439","10,321,511","10,551,327",,"488,476","496,298","506,824","517,935","527,129","535,164","544,698","553,993","562,179","570,228","570,023","577,203","577,390","575,059","575,100","570,626","567,198","563,968","560,546","554,437","550,954","546,200","542,678","537,933",,"7,652","7,947","8,380","8,430","8,580","8,904","9,318","9,753","10,127","10,577","11,057","11,436","12,263","13,072","13,659","14,610","15,353","15,698","16,224","16,855","17,321","18,401","19,020","19,615"
Delaware,"599,893","643,915","694,473","726,241","788,715","830,731","872,786","937,630","1,027,224","1,072,875","1,127,745","1,201,631","1,299,349","1,405,465","1,437,707","1,489,594","1,518,786","1,549,812","1,613,304","1,751,143","1,761,559","1,816,383","1,860,732","1,941,408",,"104,321","105,547","106,813","108,461","110,549","111,960","113,262","112,836","114,676","115,560","116,342","117,668","119,091","120,937","122,254","122,574","125,430","126,801","129,403","128,946","129,026","131,687","134,042","134,847",,"5,750","6,101","6,502","6,696","7,135","7,420","7,706","8,310","8,958","9,284","9,693","10,212","10,911","11,621","11,760","12,153","12,109","12,222","12,467","13,580","13,653","13,793","13,882","14,397"
