,Occupation,Employment,title
0,Retail Salespersons,4317950,"Largest occupations in the United States, May 2019"
1,Fast Food and Counter Workers,3996820,"Largest occupations in the United States, May 2019"
2,Cashiers,3596630,"Largest occupations in the United States, May 2019"
3,Home Health and Personal Care Aides,3161500,"Largest occupations in the United States, May 2019"
4,Registered Nurses,2982280,"Largest occupations in the United States, May 2019"
5,"Office Clerks, General",2956060,"Largest occupations in the United States, May 2019"
6,"Laborers and Freight, Stock, and Material Movers, Hand",2953170,"Largest occupations in the United States, May 2019"
7,Customer Service Representatives,2919230,"Largest occupations in the United States, May 2019"
8,Waiters and Waitresses,2579020,"Largest occupations in the United States, May 2019"
9,General and Operations Managers,2400280,"Largest occupations in the United States, May 2019"
10,Retail Salespersons,1440,"Largest occupations in Virgin_Islands, May 2019"
11,Security Guards,1330,"Largest occupations in Virgin_Islands, May 2019"
12,General and Operations Managers,970,"Largest occupations in Virgin_Islands, May 2019"
13,Cashiers,790,"Largest occupations in Virgin_Islands, May 2019"
14,Waiters and Waitresses,790,"Largest occupations in Virgin_Islands, May 2019"
15,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",780,"Largest occupations in Virgin_Islands, May 2019"
16,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",660,"Largest occupations in Virgin_Islands, May 2019"
17,Stockers and Order Fillers,630,"Largest occupations in Virgin_Islands, May 2019"
18,"Maintenance and Repair Workers, General",620,"Largest occupations in Virgin_Islands, May 2019"
19,Electricians,580,"Largest occupations in Virgin_Islands, May 2019"
20,Retail Salespersons,36450,"Largest occupations in Puerto_Rico, May 2019"
21,Cashiers,30330,"Largest occupations in Puerto_Rico, May 2019"
22,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",28860,"Largest occupations in Puerto_Rico, May 2019"
23,Security Guards,26560,"Largest occupations in Puerto_Rico, May 2019"
24,"Office Clerks, General",20010,"Largest occupations in Puerto_Rico, May 2019"
25,Registered Nurses,19510,"Largest occupations in Puerto_Rico, May 2019"
26,Stockers and Order Fillers,18650,"Largest occupations in Puerto_Rico, May 2019"
27,Fast Food and Counter Workers,18390,"Largest occupations in Puerto_Rico, May 2019"
28,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",17490,"Largest occupations in Puerto_Rico, May 2019"
29,Customer Service Representatives,15950,"Largest occupations in Puerto_Rico, May 2019"
30,Retail Salespersons,1990,"Largest occupations in Guam, May 2019"
31,Cashiers,1950,"Largest occupations in Guam, May 2019"
32,Waiters and Waitresses,1740,"Largest occupations in Guam, May 2019"
33,General and Operations Managers,1590,"Largest occupations in Guam, May 2019"
34,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",1380,"Largest occupations in Guam, May 2019"
35,Customer Service Representatives,1340,"Largest occupations in Guam, May 2019"
36,Stockers and Order Fillers,1190,"Largest occupations in Guam, May 2019"
37,Maids and Housekeeping Cleaners,1140,"Largest occupations in Guam, May 2019"
38,Fast Food and Counter Workers,1040,"Largest occupations in Guam, May 2019"
39,Security Guards,990,"Largest occupations in Guam, May 2019"
40,"Office Clerks, General",7960,"Largest occupations in Wyoming, May 2019"
41,Retail Salespersons,7900,"Largest occupations in Wyoming, May 2019"
42,Heavy and Tractor-Trailer Truck Drivers,7130,"Largest occupations in Wyoming, May 2019"
43,Cashiers,6350,"Largest occupations in Wyoming, May 2019"
44,Fast Food and Counter Workers,6000,"Largest occupations in Wyoming, May 2019"
45,Registered Nurses,5120,"Largest occupations in Wyoming, May 2019"
46,General and Operations Managers,4990,"Largest occupations in Wyoming, May 2019"
47,Waiters and Waitresses,4740,"Largest occupations in Wyoming, May 2019"
48,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",4530,"Largest occupations in Wyoming, May 2019"
49,Operating Engineers and Other Construction Equipment Operators,4060,"Largest occupations in Wyoming, May 2019"
50,Retail Salespersons,78410,"Largest occupations in Wisconsin, May 2019"
51,Fast Food and Counter Workers,73620,"Largest occupations in Wisconsin, May 2019"
52,Home Health and Personal Care Aides,72060,"Largest occupations in Wisconsin, May 2019"
